AgeGroup,Gender,MaritalStatus,IncomeBracket,YearsExperience,Retirement_RP_with_Maturity,Retirement_RP_without_Maturity,Retirement_RP_with_Life_payout,Retirement_SP,RP_Anticipated_Endowment_Regular_Pay,RP_Anticipated_Endowment_Very_Short_PPT,RP_Anticipated_Endowment_Short_PPT,RP_Anticipated_Endowment_Mid_PPT,RP_Anticipated_Endowment_Long_PPT,SP_Anticipated_Endowment,RP_Classic_Endowment_Regular_Pay,RP_Classic_Endowment_Very_Short_PPT,RP_Classic_Endowment_Short_PPT,RP_Classic_Endowment_Mid_PPT,RP_Classic_Endowment_Long_PPT,SP_Classic_Endowment,Education_Funding_Plans,RP_ILP_Accumulation,SP_ILP_Accumulation,ILP_Protection_Face_Plus,ILP_Protection_Level_Face,Level_Term,Renewable_Term,Reducing_Term,Refundable_Term,Disability_Income,Other_Term,Long_Term_Care,Integrated_Shield,International_H&S,Other_H&S,Natal_Insurance,Accident,Other_A&H,Standalone_Critical_Illness,Early_Stage_Critical_Illness,Early_Stage_&_Multiple_Claim_Critical_Illnes_plans,Cancer,Gender_Specific,Elderly,RP_WL_Protection_with_multiplier,RP_WL_Protection_without_multiplier,SP_WL_Protection,RP_WL_Income,SP_WL_Income,Trad_UL,VUL,Indexed_UL
30s,Female,Single,>150k,18,1,1,1,2,,1,2,2,,2,,1,2,2,,2,,,,,,1,,2,2,2,,2,2,2,,,2,,,2,,,2,,,2,,2,2,2,2,2
30s,Female,Married,<50k,18,1,1,,,,,,1,,,,,,1,,,1,,,,,1,,,,,,2,2,,,1,2,,2,2,,,2,,,2,1,,,,,
30s,Female,Married,>50k,18,1,1,1,,,1,,2,,,,1,,2,,,1,,,,,1,,,,1,,2,2,,,1,2,,,2,,,2,,,2,,,1,1,,
30s,Female,Married,>150k,18,1,1,1,2,,1,2,2,,2,,1,2,2,,2,1,,,,,1,,2,2,2,,2,2,2,,1,2,,,2,,,2,,,2,,2,2,2,2,2
30s,Female,Married with dependents,<50k,18,2,2,,,,,,1,,,,,,1,,,2,,,,,1,,,,,,2,2,,,1,2,,2,2,,,,,,2,1,,,,,
30s,Female,Married with dependents,>50k,18,2,2,1,,,1,,2,,,,1,,2,,,2,,,,,1,,,,1,,2,2,,,1,2,,,2,,,,,,2,,,1,1,,
30s,Female,Married with dependents,>150k,18,2,2,1,2,,1,2,2,,2,,1,2,2,,2,2,,,,,1,,2,2,2,,2,2,2,,1,2,,,2,,,,,,2,,2,2,2,2,2
30s,Male,Single,<50k,18,1,1,,,,,,1,,,,,,1,,,,,,,,1,,,,,,2,2,,,,2,,2,2,,,,,,2,1,,,,,
30s,Male,Single,>50k,18,1,1,1,,,1,,2,,,,1,,2,,,,,,,,1,,,,1,,2,2,,,,2,,,2,,,,,,2,,,1,1,,
30s,Male,Single,>150k,18,1,1,1,2,,1,2,2,,2,,1,2,2,,2,,,,,,1,,2,2,2,,2,2,2,,,2,,,2,,,,,,2,,2,2,2,2,2
30s,Male,Married,<50k,18,1,1,,,,,,1,,,,,,1,,,1,,,,,1,,,,,,2,2,,,,2,,2,2,,,,,,2,1,,,,,
30s,Male,Married,>50k,18,1,1,1,,,1,,2,,,,1,,2,,,1,,,,,1,,,,1,,2,2,,,,2,,,2,,,,,,2,,,1,1,,
30s,Male,Married,>150k,18,1,1,1,2,,1,2,2,,2,,1,2,2,,2,1,,,,,1,,2,2,2,,2,2,2,,,2,,,2,,,,,,2,,2,2,2,2,2
30s,Male,Married with dependents,<50k,18,2,2,,,,,,1,,,,,,1,,,2,,,,,1,,,,,,2,2,,,,2,,2,2,,,,,,2,1,,,,,
30s,Male,Married with dependents,>50k,18,2,2,1,,,1,,2,,,,1,,2,,,2,,,,,1,,,,1,,2,2,,,,2,,,2,,,,,,2,,,1,1,,
30s,Male,Married with dependents,>150k,18,2,2,1,2,,1,2,2,,2,,1,2,2,,2,2,,,,,1,,2,2,2,,2,2,2,,,2,,,2,,,,,,2,,2,2,2,2,2
40s,Female,Single,<50k,18,1,1,,,,,1,1,,,,,1,1,,,,,,,,1,,,,,,2,2,,,,2,,2,2,,,2,1,2,1,,,,,,
40s,Female,Single,>50k,18,1,1,,,,1,2,1,,,,1,2,1,,,,,,,,1,,1,,1,,2,2,,,,2,,,2,,,2,1,2,,,1,1,,,
40s,Female,Single,>150k,18,2,2,,2,,2,2,1,,2,,2,2,1,,2,,,,,,2,,2,,2,,2,2,2,,,2,,,2,,,2,1,2,,2,2,2,2,2,2
40s,Female,Married,<50k,18,1,1,,,,,1,1,,,,,1,1,,,1,,,,,1,,,,,,2,2,,,,2,,2,2,,,2,1,2,1,,,,,,
40s,Female,Married,>50k,18,1,1,,,,1,2,1,,,,1,2,1,,,1,,,,,1,,1,,1,,2,2,,,,2,,,2,,,2,1,2,,,1,1,,,
40s,Female,Married,>150k,18,2,2,,2,,2,2,1,,2,,2,2,1,,2,1,,,,,2,,2,,2,,2,2,2,,,2,,,2,,,2,1,2,,2,2,2,2,2,2
40s,Female,Married with dependents,<50k,18,2,2,,,,,1,1,,,,,1,1,,,2,,,,,1,,,,,,2,2,,,2,2,,2,2,,,2,1,2,1,,,,,,
40s,Female,Married with dependents,>50k,18,2,2,,,,1,2,1,,,,1,2,1,,,2,,,,,1,,1,,1,,2,2,,,2,2,,,2,,,2,1,2,,,1,1,,,
40s,Female,Married with dependents,>150k,18,2,2,,2,,2,2,1,,2,,2,2,1,,2,2,,,,,2,,2,,2,,2,2,2,,2,2,,,2,,,2,1,2,,2,2,2,2,2,2
40s,Male,Single,<50k,18,1,1,,,,,1,1,,,,,1,1,,,,,,,,1,,,,,,2,2,,,,2,,2,2,,,,1,2,1,,,,,,
40s,Male,Single,>50k,18,1,1,,,,1,2,1,,,,1,2,1,,,,,,,,1,,1,,1,,2,2,,,,2,,,2,,,,1,2,,,1,1,,,
40s,Male,Single,>150k,18,2,2,,2,,2,2,1,,2,,2,2,1,,2,,,,,,2,,2,,2,,2,2,2,,,2,,,2,,,,1,2,,2,2,2,2,2,2
40s,Male,Married,<50k,18,1,1,,,,,1,1,,,,,1,1,,,1,,,,,1,,,,,,2,2,,,,2,,2,2,,,,1,2,1,,,,,,
40s,Male,Married,>50k,18,1,1,,,,1,2,1,,,,1,2,1,,,1,,,,,1,,1,,1,,2,2,,,,2,,,2,,,,1,2,,,1,1,,,
40s,Male,Married,>150k,18,2,2,,2,,2,2,1,,2,,2,2,1,,2,1,,,,,2,,2,,2,,2,2,2,,,2,,,2,,,,1,2,,2,2,2,2,2,2
40s,Male,Married with dependents,<50k,18,2,2,,,,,1,1,,,,,1,1,,,2,,,,,1,,,,,,2,2,,,,2,,2,2,,,,1,2,1,,,,,,
40s,Male,Married with dependents,>50k,18,2,2,,,,1,2,1,,,,1,2,1,,,2,,,,,1,,1,,1,,2,2,,,,2,,,2,,,,1,2,,,1,1,,,
40s,Male,Married with dependents,>150k,18,2,2,,2,,2,2,1,,2,,2,2,1,,2,2,,,,,2,,2,,2,,2,2,2,,,2,,,2,,,,1,2,,2,2,2,2,2,2
50s,Female,Single,<50k,18,1,2,2,,,1,1,,,,,2,1,,,,,,,,,,,,,,,2,2,,,,2,,2,2,,,2,2,1,1,,,,,,
50s,Female,Single,>50k,18,1,2,2,,,2,1,,,1,,2,1,,,1,,,,,,,,,,,,2,2,,,,2,,,2,,,2,2,1,,,1,1,,,
50s,Female,Single,>150k,18,1,2,2,2,,2,1,,,2,,2,1,,,2,1,,,,,,,2,,1,,2,2,2,,,2,,,,,,2,2,1,,2,2,2,2,2,2
50s,Female,Married,<50k,18,1,2,2,,,1,1,,,,,2,1,,,,,,,,,,,,,,,2,2,,,,2,,2,2,,,2,2,1,1,,,,,,
50s,Female,Married,>50k,18,1,2,2,,,2,1,,,1,,2,1,,,1,,,,,,,,,,,,2,2,,,,2,,,2,,,2,2,1,,,1,1,,,
50s,Female,Married,>150k,18,1,2,2,2,,2,1,,,2,,2,1,,,2,1,,,,,,,2,,1,,2,2,2,,,2,,,,,,2,2,1,,2,2,2,2,2,2
50s,Female,Married with dependents,<50k,18,1,2,2,,,1,1,,,,,2,1,,,,,,,,,,,,,,,2,2,,,,2,,2,2,,,2,2,1,1,,,,,,
50s,Female,Married with dependents,>50k,18,1,2,2,,,2,1,,,1,,2,1,,,1,,,,,,,,,,,,2,2,,,,2,,,2,,,2,2,1,,,1,1,,,
50s,Female,Married with dependents,>150k,18,1,2,2,2,,2,1,,,2,,2,1,,,2,1,,,,,,,2,,1,,2,2,2,,,2,,,,,,2,2,1,,2,2,2,2,2,2
50s,Male,Single,<50k,18,1,2,2,,,1,1,,,,,2,1,,,,,,,,,,,,,,,2,2,,,,2,,2,2,,,2,2,1,1,,,,,,
50s,Male,Single,>50k,18,1,2,2,,,2,1,,,1,,2,1,,,1,,,,,,,,,,,,2,2,,,,2,,,2,,,2,2,1,,,1,1,,,
50s,Male,Single,>150k,18,1,2,2,2,,2,1,,,2,,2,1,,,2,1,,,,,,,2,,1,,2,2,2,,,2,,,,,,2,2,1,,2,2,2,2,2,2
50s,Male,Married,<50k,18,1,2,2,,,1,1,,,,,2,1,,,,,,,,,,,,,,,2,2,,,,2,,2,2,,,2,2,1,1,,,,,,
50s,Male,Married,>50k,18,1,2,2,,,2,1,,,1,,2,1,,,1,,,,,,,,,,,,2,2,,,,2,,,2,,,2,2,1,,,1,1,,,
50s,Male,Married,>150k,18,1,2,2,2,,2,1,,,2,,2,1,,,2,1,,,,,,,2,,1,,2,2,2,,,2,,,,,,2,2,1,,2,2,2,2,2,2
50s,Male,Married with dependents,<50k,18,1,2,2,,,1,1,,,,,2,1,,,,,,,,,,,,,,,2,2,,,,2,,2,2,,,2,2,1,1,,,,,,
50s,Male,Married with dependents,>50k,18,1,2,2,,,2,1,,,1,,2,1,,,1,,,,,,,,,,,,2,2,,,,2,,,2,,,2,2,1,,,1,1,,,
50s,Male,Married with dependents,>150k,18,1,2,2,2,,2,1,,,2,,2,1,,,2,1,,,,,,,2,,1,,2,2,2,,,2,,,,,,2,2,1,,2,2,2,2,2,2
40s,Female,Single,<50k,13,2,2,1,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,,,,
40s,Female,Single,>50k,13,,1,1,1,1,,,,,,,,1,1,1,1,,2,,1,,2,,,1,2,,1,1,1,,,1,1,1,2,,,,2,2,,,,,,,
40s,Female,Single,>150k,13,2,2,2,2,2,2,1,,2,2,2,2,,,,2,,2,2,2,,2,,,2,2,,2,2,2,,,2,2,2,2,,,,2,2,,,2,2,,,
40s,Female,Married,<50k,13,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,,,,
40s,Female,Married,>50k,13,,1,,1,1,,,,,,,,,,,1,,2,,1,,2,,,1,2,,1,1,1,,,1,1,1,2,,,,2,2,,,,,,,
40s,Female,Married,>150k,13,2,2,2,2,2,2,1,,2,,2,2,2,2,,2,,2,2,2,,2,,,2,2,,2,2,2,,,2,2,2,2,,,,2,2,,2,2,2,2,,
40s,Female,Married with dependents,<50k,13,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,,,,
40s,Female,Married with dependents,>50k,13,,1,,1,1,,,,,,,,,,,1,,2,,1,,2,,,1,2,,1,1,1,1,1,1,,1,2,,,,2,2,,,,,,,
40s,Female,Married with dependents,>150k,13,2,2,2,2,2,2,1,,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,,2,2,2,2,2,2,,2,2,,,,2,2,,2,2,2,2,,
40s,Male,Single,<50k,13,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,2,2,,,,2,,,2,,,,2,,,,,,,,
40s,Male,Single,>50k,13,,1,,,1,,,,,,,,,,,1,,2,,1,,2,,,1,2,,1,1,1,1,1,1,,1,2,,,,2,2,,,,,,,
40s,Male,Single,>150k,13,2,2,2,,2,2,1,,2,,2,2,2,2,,2,,2,2,2,,2,,,2,2,,2,2,2,2,2,2,,2,2,,,,2,2,,2,2,2,2,,
40s,Male,Married,<50k,13,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,2,2,,2,2,2,,,2,,,,2,,,,,,,,
40s,Male,Married,>50k,13,,1,,1,1,,,,,,,,,,,1,,2,,1,,2,,,1,2,,1,1,1,1,1,1,,1,2,,,,2,2,,,,,,,
40s,Male,Married,>150k,13,2,2,2,2,2,2,1,,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,,2,2,2,2,2,2,,2,2,,,,2,2,,2,2,2,2,,
40s,Male,Married with dependents,<50k,13,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,2,2,,,,2,,,2,,,,2,,,,,,,,
40s,Male,Married with dependents,>50k,13,,1,,1,1,,,,,,,,,,,1,,2,,1,,2,,,1,2,,2,2,1,,1,1,,1,2,,,,2,2,,,,,,,
40s,Male,Married with dependents,>150k,13,2,2,2,2,2,2,1,,2,2,2,2,2,2,,2,,2,2,2,,2,,,2,2,,2,2,2,,2,2,,2,2,,,,2,2,,2,2,2,2,,
50s,Female,Single,<50k,13,,,,,,,,,,,,,,,,,,2,,2,1,1,1,,,2,2,2,2,,,,2,,2,2,,,,2,,,,1,,,,
50s,Female,Single,>50k,13,1,,1,1,1,1,1,,,,2,,,,,,,,1,2,1,1,1,,2,2,2,2,2,1,,,2,,1,2,,,,2,,,1,1,1,,,
50s,Female,Single,>150k,13,2,,2,2,2,2,2,,,2,,2,,,,,,,2,2,2,2,2,,1,2,2,2,2,2,,,2,,2,2,,,,2,2,,2,2,2,2,,
50s,Female,Married,<50k,13,,,,,,,,,,,,,,,,,,,2,,,,,,,2,2,2,2,,,,2,,2,2,,,,2,,,,1,,,,
50s,Female,Married,>50k,13,1,,1,1,1,1,1,,,,2,,,,,1,,,,,,,1,,,2,2,2,2,1,,1,2,,1,2,,,,2,,,1,1,1,,,
50s,Female,Married,>150k,13,2,,2,2,2,2,2,,,2,,2,,,,,,,,,,2,,,,2,2,2,2,2,,2,2,,2,2,,,,2,2,,2,2,2,2,,
50s,Female,Married with dependents,<50k,13,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,2,,2,2,,,,2,,,,1,,,,
50s,Female,Married with dependents,>50k,13,,,,,,,,,,,2,,,,,1,,,,,,,1,,,2,2,2,2,1,,1,2,,1,2,,,,2,,,1,1,1,1,,
50s,Female,Married with dependents,>150k,13,2,2,2,,,,,,,2,2,2,2,2,2,2,1,,,,,2,,,,2,2,2,2,2,,2,2,,2,2,,,,2,2,,2,2,2,2,,
50s,Male,Single,<50k,13,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,2,,2,2,,,,2,,,,1,,,,
50s,Male,Single,>50k,13,1,,1,1,1,1,1,,,,1,,,,,,,,,,,,1,,,2,2,2,2,1,,,2,,1,2,,,,2,,,1,1,1,,,
50s,Male,Single,>150k,13,2,,2,2,2,2,2,,,2,2,2,2,,,,,,,,,2,,,,2,2,2,2,2,,,2,,2,2,,,,2,2,,2,2,2,2,,
50s,Male,Married,<50k,13,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,2,,2,2,,,,2,,,,1,,,,
50s,Male,Married,>50k,13,1,,1,1,1,,1,,1,1,1,1,,1,1,1,,,,,,,1,,,2,2,2,2,1,,1,2,,1,2,,,,2,,,,1,,,,
50s,Male,Married,>150k,13,2,,2,2,2,,2,,2,2,2,1,2,2,2,2,2,,,,,2,,,,2,2,2,2,2,,2,2,,2,2,,,,2,2,,2,2,2,2,,
50s,Male,Married with dependents,<50k,13,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,2,,2,2,,,,2,,,,1,,,,
50s,Male,Married with dependents,>50k,13,,,,,,,,,,,2,1,,,,,,,,,,,1,,,2,2,2,2,1,,1,2,,1,2,,,,2,,,,1,,1,,
50s,Male,Married with dependents,>150k,13,2,,2,2,2,,2,,2,2,2,2,2,2,2,2,2,,,,,2,,,,2,2,2,2,2,,2,2,,2,2,,,,2,2,,2,2,2,2,,
30s,Female,Single,<50k,11,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,,,2,,2,2,,,,2,,1,2,,,,,2,1,,,,,,
30s,Female,Single,>50k,11,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,,,2,,2,2,,,,2,,1,2,,,,,2,1,,,,,,
30s,Female,Single,>150k,11,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,,,2,,2,2,,,,2,,1,2,,,,,1,2,,,,,,
30s,Female,Married,<50k,11,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,2,1,1,,,,,
30s,Female,Married,>50k,11,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,2,1,1,,,,,
30s,Female,Married,>150k,11,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,1,2,2,,,,,
30s,Female,Married with dependents,<50k,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,2,1,1,,,,,
30s,Female,Married with dependents,>50k,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,2,1,1,,,,,
30s,Female,Married with dependents,>150k,11,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,1,2,2,,,,,
30s,Male,Single,<50k,11,,,1,,2,1,2,1,2,1,2,1,1,1,2,1,1,,,,,2,2,,,2,,2,2,,,,2,,1,2,,,,,2,1,,,,,,
30s,Male,Single,>50k,11,,,1,,2,1,2,1,1,1,1,1,2,1,1,1,1,,,,,2,2,,,2,,2,2,,,,2,,1,2,,,,,2,1,,,,,,
30s,Male,Single,>150k,11,,,1,,2,1,2,2,1,2,1,2,2,1,1,1,2,,,,,2,2,,,2,,2,2,,,,2,,1,2,,,,,1,2,,,,,,
30s,Male,Married,<50k,11,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,2,1,1,,,,,
30s,Male,Married,>50k,11,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,2,1,1,,,,,
30s,Male,Married,>150k,11,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,1,2,2,,,,,
30s,Male,Married with dependents,<50k,11,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,2,1,1,,,,,
30s,Male,Married with dependents,>50k,11,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,2,1,1,,,,,
30s,Male,Married with dependents,>150k,11,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,2,2,,1,2,,,,,1,2,2,,,,,
40s,Female,Single,<50k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,1,1,,,,,,
40s,Female,Single,>50k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,1,1,,,,,,
40s,Female,Single,>150k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,1,1,,,,,,
40s,Female,Married,<50k,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,2,1,,,,,,
40s,Female,Married,>50k,11,1,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,2,2,,,,,,
40s,Female,Married,>150k,11,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,1,2,1,,,,,
40s,Female,Married with dependents,<50k,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,2,1,1,,,,,
40s,Female,Married with dependents,>50k,11,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,2,1,1,,,,,
40s,Female,Married with dependents,>150k,11,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,1,2,2,,,,,
40s,Male,Single,<50k,11,2,2,2,2,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,1,1,,,,,,
40s,Male,Single,>50k,11,2,2,2,2,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,1,1,,,,,,
40s,Male,Single,>150k,11,2,2,2,2,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,1,1,,,,,,
40s,Male,Married,<50k,11,1,1,1,1,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,2,1,,,,,,
40s,Male,Married,>50k,11,1,2,1,1,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,2,2,,,,,,
40s,Male,Married,>150k,11,2,2,2,2,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,1,2,,,,,,
40s,Male,Married with dependents,<50k,11,1,1,1,1,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,2,1,,,,,,
40s,Male,Married with dependents,>50k,11,2,1,1,1,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,2,1,,,,,,
40s,Male,Married with dependents,>150k,11,2,2,2,2,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,,2,,1,1,,,,,1,2,,,,,,
50s,Female,Single,<50k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,,,1,,2,2,,,,2,,2,2,,,,2,1,1,1,,,,,
50s,Female,Single,>50k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,,,1,,2,2,,,,2,,2,2,,,,2,1,1,1,,,,,
50s,Female,Single,>150k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,,,1,,2,2,,,,2,,2,2,,,,2,1,1,1,,,,,
50s,Female,Married,<50k,11,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,,,,,,2,2,,,1,,2,2,,,,2,,2,2,,,,2,1,1,1,,,,,
50s,Female,Married,>50k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,,,1,,2,2,,,,2,,2,2,,,,2,2,1,1,,,,,
50s,Female,Married,>150k,11,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,,,,,,2,2,,,1,,2,2,,,,2,,2,2,,,,2,1,2,2,,,,,
50s,Female,Married with dependents,<50k,11,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,2,1,1,,,,,
50s,Female,Married with dependents,>50k,11,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,1,1,1,,,,,
50s,Female,Married with dependents,>150k,11,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,1,2,2,,,,,
50s,Male,Single,<50k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,1,1,1,,,,,
50s,Male,Single,>50k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,1,1,1,,,,,
50s,Male,Single,>150k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,1,1,1,,,,,
50s,Male,Married,<50k,11,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,1,1,1,,,,,
50s,Male,Married,>50k,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,2,1,1,,,,,
50s,Male,Married,>150k,11,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,1,2,2,,,,,
50s,Male,Married with dependents,<50k,11,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,2,1,1,,,,,
50s,Male,Married with dependents,>50k,11,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,1,1,1,,,,,
50s,Male,Married with dependents,>150k,11,2,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,,,,,,2,1,,,1,,2,2,,,,2,,2,2,,,,2,1,2,2,,,,,
20s,Female,Single,<50k,13,,,,,2,,,,1,,2,,,,,,,,,2,2,,,,,,,,2,,,,1,,,2,,1,1,,2,,,,,,,
20s,Female,Single,>50k,13,,,,,1,,,1,,,,1,1,2,2,,,,,,,2,2,1,1,,,,2,,,,1,,,2,,1,1,,2,,,,,,,
20s,Female,Single,>150k,13,,2,,1,,2,1,,,2,,2,2,1,1,2,,,,,,2,2,1,,2,,,2,1,,,1,,,2,,,,,2,,1,1,1,,,
20s,Female,Married,<50k,13,,,,,,,,,1,,2,,,,,,,,,1,1,,,,,,,,2,,,1,1,,,2,,,,,2,,,,,,,
20s,Female,Married,>50k,13,1,,,,,,,1,,,,1,1,2,2,,,,,,,2,2,1,1,,,,2,,,2,1,,,2,,,,,2,,,1,,,,
20s,Female,Married,>150k,13,,,,1,,1,1,,,1,,2,2,1,1,2,,,,,,2,2,1,,2,,,2,1,,2,1,,,2,,,,,2,,,1,,1,,
20s,Female,Married with dependents,<50k,13,,,,,,,,,1,,2,,,,,,2,,,1,1,,,,,,,,2,,,1,1,,,2,,,,,2,,,,,,,
20s,Female,Married with dependents,>50k,13,1,,,,,,,1,,,,1,1,2,2,,2,,,,,2,2,1,1,,,,2,,,2,1,,,2,,,,,2,,,2,,,,
20s,Female,Married with dependents,>150k,13,,,,1,,1,1,,,1,,2,2,1,1,2,2,,,,,2,2,1,,2,,,2,,,2,1,,,2,,,,,2,,1,2,2,1,,
20s,Male,Single,<50k,13,,,,,2,,,,1,,2,,,,,,,,,2,2,,,,,,,,2,,,,1,,,2,,,,,2,,,,,,,
20s,Male,Single,>50k,13,,,,,,,,1,,,,1,1,2,2,,,,,,,2,2,1,,,,,2,,,,1,,,2,,,,,2,,,,,,,
20s,Male,Single,>150k,13,,,,1,,2,1,,,2,,2,2,1,1,2,,1,,,,2,2,1,,2,,,2,1,,,1,,,2,,,,,2,,,1,1,,,
20s,Male,Married,<50k,13,1,,,,,,,,1,,2,,,,,,,,,1,1,,,,,,,,2,,,1,1,,,2,,,,,2,,,,,,,
20s,Male,Married,>50k,13,,,,,,,,1,,,,1,1,2,2,,,,,,,2,2,1,,,,,2,,,2,1,,,2,,,,,2,,,1,,,,
20s,Male,Married,>150k,13,,,,1,,1,1,,,1,,2,2,1,1,,,,,,,2,2,1,,2,,,2,1,,2,1,,,2,,,,,2,,,1,,1,,
